,driver_id,customer_id,rating
0,1410368,24305512,5
8,1675128,50837872,5
25,1775868,58055388,3
28,986496,8850476,5
55,1892204,8850476,5
58,1441800,17501256,0
60,881956,22075560,5
142,1884552,21144612,5
147,929744,14327868,0
156,1335388,49638136,5
163,1847788,54869560,0
230,1936844,22689016,5
232,1644716,3414552,5
251,1375160,28751936,5
264,1884520,7325592,0
272,1630124,52015024,0
274,1447352,56699944,0
289,1983144,51941080,5
300,885248,21486928,5
303,1855464,54709948,0
319,1750432,10822824,5
322,1759236,7767844,5
332,1272092,47776476,0
337,1988512,48629456,0
352,721848,19898632,0
367,884248,54940144,5
370,1751380,26970776,5
383,1870832,51151896,5
386,1439212,27671884,5
408,1406720,30670600,5
424,1710840,53021136,5
430,1424928,44433016,5
437,1900096,40283448,4
458,1823600,27112488,5
469,554348,23484092,0
476,1494428,28005136,5
530,645300,25477472,5
560,1934920,9355520,5
592,1815956,18777560,5
615,1702964,23666556,5
626,561784,15499124,5
665,888532,20556788,5
726,1911344,41249840,5
731,1142496,55512044,5
732,1937416,17438336,5
752,1892188,33166200,5
758,1949924,21323432,0
759,1726688,44213964,5
762,590840,18982768,5
763,1414132,47975944,5
785,1388476,7935048,0
805,1720796,37596628,4
831,1715132,34030956,0
854,1379276,20890372,5
866,987548,16461504,5
867,650932,55002040,5
886,520340,46441172,4
889,1435776,46793600,5
899,1181732,54655980,5
901,1545024,52422548,0
906,947724,53633804,5
921,1698204,22818472,0
922,1734196,10262132,5
935,1177040,49515868,5
941,614012,26556952,0
950,827080,30712584,5
952,1135376,17040360,5
953,1792308,53174232,3
962,1337440,45034920,0
988,1685508,37073512,0
1004,1394644,7839328,0
1019,1792204,18333420,0
1021,1303504,42426920,5
1062,1563468,52955904,0
1065,1494756,50576276,5
1093,1146692,14177828,5
1144,1825420,52273364,0
1146,1793572,42426920,5
1152,1619104,8803676,5
1155,1809772,8090136,5
1157,1246848,9589956,5
1160,1752396,3940824,5
1165,899964,55484380,5
1166,1724620,26644540,5
1185,619688,14555688,4
1201,1527548,31376696,5
1206,1720836,46225188,5
1221,954664,22223340,0
1222,1859928,41531924,5
1276,1004824,56879792,5
1290,758272,42726180,5
1292,1150316,39410500,5
1333,1917708,47876520,0
1339,1840504,13005752,0
1352,1860076,27551384,5
1353,1855440,44970512,5
1355,649164,21069220,5
1356,1526468,37087160,5
1366,1810044,15968508,5
1376,1846152,16340244,5
1394,1934500,45158536,5
1396,1788792,10950212,0
1398,1458744,9355520,5
1451,1715720,17349932,0
1464,1868740,18953816,5
1471,1645104,46793600,0
1473,1703796,38189592,0
1484,1869452,52503496,5
1493,758416,23934804,4
1501,1944576,4667392,0
1507,678680,25908976,0
1532,1394460,45629644,5
1534,1447832,8688568,5
1549,1660904,19045504,5
1550,779064,35229404,0
1553,1846936,57327652,0
1575,909868,5373484,5
1594,1738080,13443596,5
1626,1127556,27739132,0
1675,1654836,20137728,5
1681,1570728,27399032,3
1687,1775036,55141060,5
1709,1476100,50390032,5
1711,1953628,2001520,0
1741,1819760,40919752,5
1745,1741976,47275520,5
1792,681844,50379776,0
1799,1932968,54911452,5
1839,798668,22689016,5
1849,1683776,7861844,5
1863,1425344,27250628,4
1871,1860076,20693672,4
1879,1842304,53431356,4
1891,967152,31169780,5
1916,1328520,7535528,4
1928,1526308,54239280,0
1935,1720836,7487028,5
1942,1855396,2076568,0
1947,1871176,12325552,0
1980,1360284,32539728,4
1985,1691156,17727056,5
2027,1800588,18682764,0
2030,1402400,45203872,4
2038,1750844,54127780,0
2093,1714640,16993824,5
2117,1899408,32939848,5
2120,697020,15271308,5
2148,1161696,52250892,0
2154,1685544,50131724,5
2163,1599352,8333832,0
2177,955384,57421284,5
2203,916468,50048844,5
2231,1892056,40335808,0
2245,1600608,54773660,5
2246,650380,51533672,5
2267,1692060,55567636,5
2269,1272120,21369740,0
2314,1888612,25814920,0
2316,599516,15775292,0
2337,1176984,57417308,0
2354,1765044,14592832,5
2357,1328588,11509132,4
2359,1916720,33166200,5
2362,1618888,57468584,5
2370,1697872,18429852,5
2371,1387692,41661400,0
2378,753164,45752696,4
2454,1773068,33219256,0
2463,1096292,44865004,4
2468,1713888,52279420,5
2481,1425340,17273648,5
2490,1314812,23307760,0
2497,1619408,18682764,0
2510,1808288,30541484,5
2532,565848,20556788,5
2558,1387740,448156,5
2568,1308032,45585492,5
2580,1649164,19546004,5
2586,900428,45863848,5
2592,1336656,3410288,5
2599,784256,54888508,5
2605,1379692,25010564,0
2628,1218244,47621948,3
2642,1696464,51142560,0
2701,1384268,28649064,5
2715,1697760,2466472,5
2719,1825688,44865004,4
2736,1825420,38134628,0
2780,1246836,56563836,5
2785,1721612,47302588,5
2801,594884,1619952,5
2830,1480760,28005136,5
2832,1932220,46552332,5
2844,1861352,56173668,5
2852,628864,56022084,5
2868,1308432,21266584,5
2923,1314020,29900972,5
2962,667864,11032540,5
2976,1331664,50830444,0
2977,1685508,39164088,0
2991,1281532,56158264,0
3002,1696368,56636024,1
3014,1930316,56782460,5
3045,1984260,30688704,5
3050,1994180,24925864,5
3057,1331548,58084156,5
3060,1807972,50923492,0
3064,1932968,52347328,5
3077,1425312,57961892,0
3085,1177040,56976636,5
3102,1843628,33205724,5
3113,1929480,45750020,5
3133,1973736,32874216,0
3152,1340808,45833664,5
3164,1697312,49292008,5
3173,921048,19143380,5
3199,1760900,31083396,5
3216,887864,58363032,5
3222,1932296,10262132,5
3226,650916,29795156,5
3231,1739012,8571504,4
3252,954432,2103824,5
3258,1388516,6525364,0
3279,1711404,5289884,0
3282,605344,55395132,2
3319,1788744,5413188,0
3335,1881796,16359252,5
3351,1446612,5373484,0
3368,1724680,36625116,5
3377,1851596,13098332,4
3387,792532,50923492,0
3397,1697312,39027004,5
3450,1762536,23205720,4
3519,1823468,52141304,5
3534,752852,6644008,5
3542,752852,4019824,5
3573,744676,27960648,5
3586,1838404,5189900,5
3590,1336432,32923640,0
3650,1271916,54249264,5
3651,1008416,43834672,5
3655,664192,46822256,5
3666,1375008,27444384,0
3679,1732120,12509424,0
3680,1840412,57609292,5
3688,1935188,42715756,5
3693,1944200,57793956,4
3725,1312804,2545540,4
3728,903080,41705016,0
3732,1957772,56092560,0
3744,524528,39468076,0
